#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  56
#! SET periodic_phi true
   -3.141592654  108.564617005   48.258155203
   -3.029392916  113.435028335   38.428225685
   -2.917193178  117.128472726   27.505032488
   -2.804993441  119.599778374   16.761741131
   -2.692793703  120.925719503    7.143105372
   -2.580593965  121.277559268   -0.481064372
   -2.468394228  120.918602077   -5.521471150
   -2.356194490  120.153710370   -7.729902952
   -2.243994753  119.303689927   -7.182101215
   -2.131795015  118.642540542   -4.450922554
   -2.019595277  118.374906240   -0.376038704
   -1.907395540  118.582035275    3.926098889
   -1.795195802  119.232700174    7.293675075
   -1.682996064  120.159307546    8.717595428
   -1.570796327  121.092682224    7.486388227
   -1.458596589  121.725430423    3.431538966
   -1.346396852  121.760370261   -3.084945888
   -1.234197114  120.956842777  -11.279976505
   -1.121997376  119.194053196  -20.124610519
   -1.009797639  116.466773860  -28.331749549
   -0.897597901  112.920862021  -34.806751012
   -0.785398163  108.762890469  -38.915597028
   -0.673198426  104.310612025  -40.228457781
   -0.560998688   99.857478604  -38.623995659
   -0.448798951   95.736024401  -34.358263460
   -0.336599213   92.225655394  -27.663053577
   -0.224399475   89.575239704  -19.052344005
   -0.112199738   87.981399620   -9.010433893
    0.000000000   87.574595215    1.957979103
    0.112199738   88.414792621   13.175925192
    0.224399475   90.485793637   23.792941844
    0.336599213   93.671956629   32.796411025
    0.448798951   97.725334367   39.118805686
    0.560998688  102.287544628   41.710485678
    0.673198426  106.885988206   39.795174275
    0.785398163  110.995700604   32.948477980
    0.897597901  114.076409642   21.395127092
    1.009797639  115.643203842    6.084059461
    1.121997376  115.349332920  -11.579523739
    1.234197114  113.046934950  -29.501366331
    1.346396852  108.813767971  -45.610203772
    1.458596589  102.971217662  -57.958452063
    1.570796327   96.017253828  -65.089066086
    1.682996064   88.603511761  -66.113058668
    1.795195802   81.430297185  -60.869566296
    1.907395540   75.172551645  -49.980399000
    2.019595277   70.405047129  -34.609695608
    2.131795015   67.531704369  -16.435026976
    2.243994753   66.761586804    2.767464219
    2.356194490   68.117844387   21.186781702
    2.468394228   71.433240210   37.274668255
    2.580593965   76.357524059   49.785922991
    2.692793703   82.449094363   57.988801581
    2.804993441   89.198947362   61.538148107
    2.917193178   96.110117919   60.693402628
    3.029392916  102.699785290   56.031349598
