#! FIELDS phi file.free der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  32
#! SET periodic_phi true
   -3.141592654 -120.689885202  -53.608718472
   -2.945243113 -129.288437189  -33.606223369
   -2.748893572 -133.809751422  -13.060771160
   -2.552544031 -134.742783725    2.176540650
   -2.356194490 -133.529762011    8.509552955
   -2.159844949 -131.992601690    5.813785227
   -1.963495408 -131.591737644   -2.103178989
   -1.767145868 -132.737518641   -8.803712570
   -1.570796327 -134.570602752   -8.349910674
   -1.374446786 -135.392840414    1.370376203
   -1.178097245 -133.605053716   17.348752099
   -0.981747704 -128.565750231   33.321687533
   -0.785398163 -120.906537675   43.157131974
   -0.589048623 -112.207832070   43.645208738
   -0.392699082 -104.352395440   34.807618460
   -0.196349541  -98.995482266   18.592600734
    0.000000000  -97.318141714   -2.129339307
    0.196349541  -99.858557396  -23.546717700
    0.392699082 -106.253042039  -40.388634435
    0.589048623 -114.984844196  -46.306563441
    0.785398163 -123.383856733  -36.590084291
    0.981747704 -128.290411791  -11.328058711
    1.178097245 -127.209546488   22.815938782
    1.374446786 -119.471011984   54.477612712
    1.570796327 -106.724804920   72.231487814
    1.767145868  -92.445860566   69.603328682
    1.963495408  -80.672486707   47.434145500
    2.159844949  -74.620678171   12.910867181
    2.356194490  -75.718147099  -23.585518201
    2.552544031  -83.360616956  -52.360107235
    2.748893572  -95.351814993  -67.198511000
    2.945243113 -108.728886776  -66.674919950
