#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  56
#! SET periodic_phi true
   -3.141592654  108.561617620   48.272302407
   -3.029392916  113.433324899   38.436785473
   -2.917193178  117.127530253   27.510075308
   -2.804993441  119.599304723   16.764414303
   -2.692793703  120.925535556    7.144183264
   -2.580593965  121.277507945   -0.480747356
   -2.468394228  120.918602077   -5.521471150
   -2.356194490  120.153710370   -7.729902952
   -2.243994753  119.303689927   -7.182101215
   -2.131795015  118.642540542   -4.450922554
   -2.019595277  118.374906240   -0.376038704
   -1.907395540  118.582035275    3.926098889
   -1.795195802  119.232700174    7.293675075
   -1.682996064  120.159307546    8.717595428
   -1.570796327  121.092621222    7.486026366
   -1.458596589  121.725314024    3.430888829
   -1.346396852  121.760110753   -3.086335366
   -1.234197114  120.956378496  -11.282304814
   -1.121997376  119.193188548  -20.128741583
   -1.009797639  116.465262835  -28.338573333
   -0.897597901  112.918380121  -34.817218431
   -0.785398163  108.758932935  -38.931165969
   -0.673198426  104.304506644  -40.250788672
   -0.560998688   99.848391620  -38.654708749
   -0.448798951   95.722831388  -34.399536153
   -0.336599213   92.207128566  -27.716330271
   -0.224399475   89.549853379  -19.119523927
   -0.112199738   87.947684392   -9.091802078
    0.000000000   87.530944704    1.862287240
    0.112199738   88.359628345   13.066558065
    0.224399475   90.417657580   23.671408527
    0.336599213   93.589610794   32.665131218
    0.448798951   97.627865031   38.981144947
    0.560998688  102.174469880   41.570777678
    0.673198426  106.757366486   39.658711043
    0.785398163  110.852234432   32.821425046
    0.897597901  113.919532893   21.284304797
    1.009797639  115.475134356    5.996536772
    1.121997376  115.173067830  -11.637043291
    1.234197114  112.866166940  -29.523327719
    1.346396852  108.632708990  -45.593043167
    1.458596589  102.794332371  -57.901332231
    1.570796327   95.848925312  -64.994318678
    1.682996064   88.447681394  -65.986183876
    1.795195802   81.290132714  -60.718729494
    1.907395540   75.050197795  -49.815483204
    2.019595277   70.301499859  -34.441080985
    2.131795015   67.446826298  -16.272337197
    2.243994753   66.694253644    2.916406628
    2.356194490   68.066188032   21.316611824
    2.468394228   71.394957419   37.382556840
    2.580593965   76.330125246   49.871606888
    2.692793703   82.430142380   58.054063233
    2.804993441   89.186297333   61.585748085
    2.917193178   96.102003560   60.726477115
    3.029392916  102.694768536   56.053381947
