#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  30
#! SET periodic_phi true
   -3.141592654  117.617906116   20.510547164
   -2.932153143  126.140429187   15.291632211
   -2.722713633  130.863968191   14.367965158
   -2.513274123  133.924835318   12.523492524
   -2.303834613  136.143489589    8.569917918
   -2.094395102  137.776339151    7.246787560
   -1.884955592  139.061901131    4.831103465
   -1.675516082  139.581860655    0.297961837
   -1.466076572  138.433059020   -4.512436634
   -1.256637061  132.716634689  -14.341132346
   -1.047197551  126.083378224  -23.403453019
   -0.837758041  121.384773788  -27.716091566
   -0.628318531  118.551379911  -28.679293238
   -0.418879020  116.066178909  -26.373545148
   -0.209439510  113.532436715  -20.677952307
    0.000000000  110.990173807  -12.036898434
    0.209439510  110.212164869   -4.526221434
    0.418879020  110.527644704    1.919261392
    0.628318531  112.468470469    4.226593973
    0.837758041  115.491057742    0.306306471
    1.047197551  117.819375529   -9.435130775
    1.256637061  115.446041312  -15.930291687
    1.466076572  109.949742729  -19.140487114
    1.675516082  104.325186106  -18.593164947
    1.884955592  100.361429939  -12.255011483
    2.094395102   98.210779705   -1.622223279
    2.303834613   98.757933297   10.042116890
    2.513274123  101.019302695   20.245306154
    2.722713633  104.340901362   27.626561288
    2.932153143  108.271698674   28.240658020
